119,1.0,28847
120,1.0,1702
119,1.0,3229
118,1.0,1571
116,1.0,1614
114,1.0,1614
112,1.0,1571
109,1.0,1571
106,1.0,1570
103,1.0,1614
100,1.0,1571
98,1.0,1571
94,1.0,1745
90,1.0,1614
85,1.0,1571
80,1.0,1571
73,1.0,1571
65,1.0,1571
59,1.0,1963
52,1.0,2051
44,1.0,1789
34,1.0,1614
24,1.0,1614
16,0.775,1614
3,0.775,2051
353,0.775,1789
342,0.775,1614
333,0.775,1571
322,0.775,1614
312,0.775,1614
300,0.775,1614
289,0.775,1702
279,0.775,1571
266,0.775,1920
253,0.55,1570
243,0.55,1614
233,0.55,1614
222,0.225,1571
203,0.225,1614
188,0.55,1658
180,0.55,1571
179,0.55,2051
181,0.55,1658
192,0.775,1571
196,0.775,3142
194,0.775,1571
185,0.775,1876
170,0.775,1920
151,0.775,1963
125,0.775,1920
106,0.55,1876
87,0.55,1571
74,0.55,1571
64,0.225,3229
60,0.55,1571
61,0.775,1571
65,1.0,1614
69,1.0,1571
76,1.0,1571
84,1.0,1571
94,1.0,1658
102,1.0,1658
114,0.775,1571
129,0.775,1571
144,0.55,1571
151,0.55,1658
153,0.55,1571
150,0.55,1614
131,0.55,1571
113,0.225,1570
79,0.225,1571
52,0.55,1570
37,0.55,1614
25,0.55,1593
10,0.55,1614
351,0.55,1789
331,0.55,2094
312,0.55,2138
303,0.225,1920
291,0.225,1570
214,0.225,1614
225,0.225,1614
239,0.55,1614
245,0.55,1571
248,0.775,1571
250,0.775,1614
253,0.775,1745
258,0.775,1614
264,1.0,1614
269,1.0,1570
279,1.0,1614
290,1.0,1614
299,1.0,1571
306,1.0,1658
311,1.0,1614
313,1.0,1614
317,0.775,1614
315,0.55,1702
310,0.55,1571
298,0.55,1614
288,0.225,1614
272,0.225,1614
250,0.225,1571
237,0.225,1658
50,0.225,1614
33,0.225,1789
29,0.55,3884
41,0.55,1790
71,0.55,1614
99,0.55,1571
129,0.55,1614
176,0.225,1571
204,0.55,1614
211,0.55,1571
210,0.55,1614
195,0.55,1571
169,0.55,1614
152,0.55,1614
152,0.775,1658
161,0.775,1658
176,0.775,1571
185,0.775,1571
187,0.775,3229
192,0.775,1571
215,0.55,1658
247,0.55,1614
282,0.55,1571
308,0.55,1614
320,0.55,1614
331,0.55,1571
357,0.55,1614
45,0.225,1745
61,0.55,1789
62,0.55,1658
47,0.225,1833
11,0.55,1832
344,0.55,1963
339,0.55,1658
342,0.55,1658
351,0.775,1614
2,0.775,1614
10,0.775,1571
18,1.0,1614
24,0.775,1571
37,0.55,1571
56,0.225,1571
143,0.225,1614
215,0.225,1658
213,0.225,1658
190,0.225,1614
135,0.225,1571
114,0.55,2007
109,0.55,1658
114,0.55,1658
132,0.55,1745
160,0.55,1658
189,0.775,1614
192,0.775,1614
190,0.775,1571
179,0.775,1789
